,State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
42,Massachusetts,Springfield,Hampden,42.105792,-72.597133,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,118
43,Massachusetts,Brockton,Plymouth,42.081936,-71.014739,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
44,Massachusetts,Brockton,Plymouth,42.081936,-71.014739,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
45,Massachusetts,Brockton,Plymouth,42.081936,-71.014739,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
46,Massachusetts,Brockton,Plymouth,42.081936,-71.014739,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
47,Massachusetts,Brockton,Plymouth,42.065106,-71.012129,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,30
48,Massachusetts,Brockton,Plymouth,42.065106,-71.012129,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,30
49,Massachusetts,Boston,Suffolk,42.348873,-71.097163,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
50,Massachusetts,Boston,Suffolk,42.348873,-71.097163,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
51,Massachusetts,Boston,Suffolk,42.372122,-71.061741,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
52,Massachusetts,Boston,Suffolk,42.372122,-71.061741,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
53,Massachusetts,Boston,Suffolk,42.3295,-71.0826,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,118
54,Massachusetts,Boston,Suffolk,42.3295,-71.0826,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,118
55,Massachusetts,Boston,Suffolk,42.3631,-71.0543,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,347
56,Massachusetts,Boston,Suffolk,42.3631,-71.0543,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,347
57,Massachusetts,Boston,Suffolk,42.3631,-71.0543,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,325
58,Massachusetts,Boston,Suffolk,42.3631,-71.0543,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,325
59,Massachusetts,Boston,Suffolk,42.325186,-71.056061,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,31
60,Massachusetts,Boston,Suffolk,42.325186,-71.056061,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,31
61,Massachusetts,Worcester,Worcester,42.260102,-71.798375,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,110
62,Massachusetts,Worcester,Worcester,42.260102,-71.798375,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,110
63,Massachusetts,Worcester,Worcester,42.263955,-71.794322,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
64,Massachusetts,Worcester,Worcester,42.263955,-71.794322,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
65,New York,Albany,Albany,42.64225,-73.75464,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
66,New York,Albany,Albany,42.64225,-73.75464,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
67,New York,Albany,Albany,42.64225,-73.75464,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
68,New York,Albany,Albany,42.64225,-73.75464,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
69,New York,Albany,Albany,42.68075,-73.75733,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,103
70,New York,Albany,Albany,42.68075,-73.75733,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,103
71,New York,New York,Bronx,40.816,-73.902,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
72,New York,New York,Bronx,40.816,-73.902,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
73,New York,New York,Bronx,40.8679,-73.87809,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
74,New York,New York,Bronx,40.8679,-73.87809,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
75,New York,Dunkirk,Chautauqua,42.49963,-79.31881,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,77
76,New York,Dunkirk,Chautauqua,42.49963,-79.31881,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,77
77,New York,Westfield,Chautauqua,42.29071,-79.58961,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,16
78,New York,Westfield,Chautauqua,42.29071,-79.58961,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,16
79,New York,Amherst,Erie,42.99328,-78.77153,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,68
80,New York,Amherst,Erie,42.99328,-78.77153,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,68
81,New York,Buffalo,Erie,42.876907,-78.809526,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
82,New York,Buffalo,Erie,42.876907,-78.809526,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
83,New York,,Essex,44.39308,-73.8589,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,59
84,New York,,Essex,44.39308,-73.8589,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,59
85,New York,New York,Kings,40.71961,-73.94771,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
86,New York,New York,Kings,40.71961,-73.94771,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
87,New York,Rochester,Monroe,43.14618,-77.54817,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
88,New York,Rochester,Monroe,43.14618,-77.54817,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
89,New York,New York,New York,40.7997,-73.93432,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
90,New York,New York,New York,40.7997,-73.93432,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
91,New York,New York,New York,40.7997,-73.93432,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
92,New York,New York,New York,40.7997,-73.93432,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
93,New York,New York,New York,40.73,-73.984,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
94,New York,New York,New York,40.73,-73.984,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
95,New York,New York,New York,40.71436,-73.99518,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
96,New York,New York,New York,40.71436,-73.99518,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
97,New York,Niagara Falls,Niagara,43.08218,-79.00106,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,23
98,New York,Niagara Falls,Niagara,43.08218,-79.00106,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,23
99,New York,East Syracuse,Onondaga,43.05235,-76.05921,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
100,New York,East Syracuse,Onondaga,43.05235,-76.05921,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
101,New York,Newburgh,Orange,41.49916,-74.00885,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
102,New York,Newburgh,Orange,41.49916,-74.00885,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
103,New York,New York,Queens,40.73614,-73.82153,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,333
104,New York,New York,Queens,40.73614,-73.82153,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,333
105,New York,New York,Richmond,40.63307,-74.13719,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
106,New York,New York,Richmond,40.63307,-74.13719,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
107,New York,,Steuben,42.09142,-77.20978,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,105
108,New York,,Steuben,42.09142,-77.20978,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,105
109,New York,East Farmingdale,Suffolk,40.74529,-73.41919,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
110,New York,East Farmingdale,Suffolk,40.74529,-73.41919,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
111,Pennsylvania,,Adams,39.92002,-77.30968,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,339
112,Pennsylvania,,Adams,39.92002,-77.30968,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,339
113,Pennsylvania,Avalon,Allegheny,40.499767,-80.071337,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
114,Pennsylvania,Avalon,Allegheny,40.499767,-80.071337,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
115,Pennsylvania,Pittsburgh,Allegheny,40.46542,-79.960757,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,360
116,Pennsylvania,Pittsburgh,Allegheny,40.46542,-79.960757,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,360
117,Pennsylvania,Pittsburgh,Allegheny,40.46542,-79.960757,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,58
118,Pennsylvania,Pittsburgh,Allegheny,40.46542,-79.960757,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,58
119,Pennsylvania,Liberty,Allegheny,40.323768,-79.868062,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,357
120,Pennsylvania,Liberty,Allegheny,40.323768,-79.868062,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,357
121,Pennsylvania,Liberty,Allegheny,40.323768,-79.868062,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,59
122,Pennsylvania,Liberty,Allegheny,40.323768,-79.868062,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,59
123,Pennsylvania,McDonald,Allegheny,40.375644,-80.169943,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
124,Pennsylvania,McDonald,Allegheny,40.375644,-80.169943,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
125,Pennsylvania,McCandless Township,Allegheny,40.606624,-80.021669,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,57
126,Pennsylvania,McCandless Township,Allegheny,40.606624,-80.021669,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,57
127,Pennsylvania,Harrison Township,Allegheny,40.617488,-79.727664,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
128,Pennsylvania,Harrison Township,Allegheny,40.617488,-79.727664,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
129,Pennsylvania,North Braddock,Allegheny,40.402328,-79.860973,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,111
130,Pennsylvania,North Braddock,Allegheny,40.402328,-79.860973,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,111
