,State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
41,New York,,Hamilton,43.44957,-74.51625,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6083
42,New York,,Herkimer,43.68578,-74.98538,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6117
43,New York,,Jefferson,44.08747,-75.97316,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6145
44,New York,Rochester,Monroe,43.14618,-77.54817,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6084
45,New York,New York,New York,40.81976,-73.94825,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6075
46,New York,Middleport,Niagara,43.22386,-78.47888,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3882
47,New York,East Syracuse,Onondaga,43.05235,-76.05921,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5845
48,New York,Montgomery,Orange,41.52375,-74.21534,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5839
49,New York,Fulton,Oswego,43.28428,-76.46324,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6138
50,New York,,Putnam,41.45589,-73.70977,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6026
51,New York,New York,Queens,40.73614,-73.82153,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5944
52,New York,New York,Richmond,40.59664,-74.12525,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5307
53,New York,,Rockland,41.18208,-74.02819,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6154
54,New York,,Saratoga,43.01209,-73.6489,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6133
55,New York,,Steuben,42.09142,-77.20978,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5477
56,New York,East Farmingdale,Suffolk,40.74529,-73.41919,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6104
57,New York,Riverhead,Suffolk,40.96078,-72.71238,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,4066
58,New York,Holtsville,Suffolk,40.82799,-73.05754,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5895
59,New York,,Tompkins,42.4006,-76.6538,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6014
60,New York,,Wayne,43.23086,-77.17136,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5161
61,New York,White Plains,Westchester,41.05192,-73.76366,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6157
62,Pennsylvania,,Adams,39.9231,-77.3078,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5993
63,Pennsylvania,Pittsburgh,Allegheny,40.46542,-79.960757,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6163
64,Pennsylvania,Pittsburgh,Allegheny,40.445577,-80.016155,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5805
65,Pennsylvania,McDonald,Allegheny,40.375644,-80.169943,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5126
66,Pennsylvania,Harrison Township,Allegheny,40.613949,-79.72941,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6071
67,Pennsylvania,Kittanning,Armstrong,40.814183,-79.56475,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6044
68,Pennsylvania,,Beaver,40.56252,-80.503948,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5739
69,Pennsylvania,,Beaver,40.684722,-80.359722,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6030
70,Pennsylvania,Beaver Falls,Beaver,40.747796,-80.316442,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5701
71,Pennsylvania,,Berks,40.51408,-75.789721,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6191
72,Pennsylvania,,Berks,40.38335,-75.9686,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6167
73,Pennsylvania,Altoona,Blair,40.535278,-78.370833,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6198
74,Pennsylvania,,Bradford,41.705226,-76.512726,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5190
75,Pennsylvania,Bristol,Bucks,40.107222,-74.882222,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6061
76,Pennsylvania,Johnstown,Cambria,40.309722,-78.915,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6176
77,Pennsylvania,State College,Centre,40.811389,-77.877028,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6179
78,Pennsylvania,,Centre,40.7208,-77.9319,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6136
79,Pennsylvania,,Chester,39.834461,-75.768242,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6118
80,Pennsylvania,,Clearfield,41.1175,-78.526194,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5878
