State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
Massachusetts,Brockton,Plymouth,  42.081935999999999, -71.014739000000006,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
Massachusetts,Brockton,Plymouth,  42.081935999999999, -71.014739000000006,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
Massachusetts,Brockton,Plymouth,  42.081935999999999, -71.014739000000006,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
Massachusetts,Brockton,Plymouth,  42.065106000000000, -71.012129000000002,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,30
Massachusetts,Brockton,Plymouth,  42.065106000000000, -71.012129000000002,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,30
Massachusetts,Boston,Suffolk,  42.348872999999998, -71.097162999999995,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,7944
Massachusetts,Boston,Suffolk,  42.348872999999998, -71.097162999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
Massachusetts,Boston,Suffolk,  42.348872999999998, -71.097162999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
Massachusetts,Boston,Suffolk,  42.372121999999997, -71.061740999999998,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
Massachusetts,Boston,Suffolk,  42.372121999999997, -71.061740999999998,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
Massachusetts,Boston,Suffolk,  42.340251000000002, -71.038349999999994,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,8106
Massachusetts,Boston,Suffolk,  42.317371999999999, -70.968359000000007,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,6466
Massachusetts,Boston,Suffolk,  42.317371999999999, -70.968359000000007,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5387
Massachusetts,Boston,Suffolk,  42.329500000000003, -71.082599999999999,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,8034
Massachusetts,Boston,Suffolk,  42.329500000000003, -71.082599999999999,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6105
Massachusetts,Boston,Suffolk,  42.329500000000003, -71.082599999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,118
Massachusetts,Boston,Suffolk,  42.329500000000003, -71.082599999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,118
Massachusetts,Boston,Suffolk,  42.363100000000003, -71.054299999999998,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,347
