CTUID,Total,Citizens,Not Citizens,Percentage Citizens
5370204,5190,4690,505,0.903660886
5370205.01,3285,3135,150,0.9543379
5370205.02,5045,4670,370,0.925668979
5370206,3645,3390,260,0.930041152
5370207.01,6520,6290,225,0.964723926
5370207.02,6070,5865,205,0.966227348
5370207.03,3805,3630,175,0.954007884
5370207.04,2550,2470,75,0.968627451
5370208,3075,2940,140,0.956097561
5370209,1540,1470,70,0.954545455
5370210,2380,2280,105,0.957983193
5370211,3030,2860,170,0.943894389
5370212,1635,1570,70,0.960244648
5370213,3635,3485,155,0.958734525
5370214,2660,2515,145,0.945488722
5370215,2650,2515,135,0.949056604
5370216,4140,4040,100,0.975845411
5370217.01,4980,4615,360,0.926706827
5370217.02,3390,3255,140,0.960176991
5370218,6895,6595,305,0.95649021
5370219,4550,4345,205,0.954945055
5370220,5590,5340,245,0.955277281
5370221,3255,3130,125,0.961597542
5370222.01,,,,#DIV/0!
5370222.02,4260,4070,190,0.955399061
5370222.03,4410,4185,220,0.948979592
5370223.01,2580,2515,65,0.974806202
5370223.02,4640,4425,215,0.953663793
5370223.05,3185,3100,85,0.973312402
5370223.06,3910,3855,55,0.985933504
5370223.07,4270,4160,110,0.974238876
5370223.09,8765,8125,645,0.926982316
5370223.1,4470,4255,220,0.951901566
5370223.12,7755,7195,555,0.927788524
5370223.13,4640,4395,245,0.947198276
5370223.14,4140,4010,125,0.968599034
5370223.15,2325,2215,110,0.952688172
5370223.16,2295,2205,85,0.960784314
5370224.01,10635,9580,1050,0.900799248
5370224.02,3740,3575,165,0.955882353
5370300,2025,1995,35,0.985185185
5370301,7630,7455,170,0.97706422
5370302,5325,5155,165,0.968075117
5370303.01,3820,3740,80,0.979057592
5370303.02,8025,7805,225,0.97258567
