CTUID,Pop Density,Average Household Age,Average Household Size,Average Household Total Income ,Average Number of Rooms,Average Shelter Monthly Cost,p Housing Suitability,Built On or After 2001,p Single-Detached Houses,pGoodCondition
5370044,3861.2,44.1,1.8,53114,4.5,1074,0.948608137,0.032119914,0.147991543,0.899357602
5370045,930,38.3,2.5,126856,7.5,1467,0.961206897,0.043103448,0.770562771,0.926724138
5370046,2740.7,40.1,2.2,75146,5.4,1239,0.927272727,0.010909091,0.494584838,0.923913043
5370047,2546.2,45.9,1.8,56995,5,1207,0.970588235,0.129411765,0.320474777,0.92920354
5370048,5122.8,44.8,1.6,41210,3.6,1421,0.892045455,0.085227273,0.026315789,0.897727273
5370049,5432.9,41.3,1.8,39549,3.6,1047,0.880851064,0.068085106,0.037815126,0.85106383
5370050,6701.1,40.4,2,42152,4.9,936,0.908571429,0.02,0.190340909,0.84
5370051,7917.4,38.6,2.2,45747,5.1,1139,0.921717172,0.005063291,0.27154047,0.873417722
5370052,6757.4,38.8,2.1,55028,5.7,1223,0.94637224,0.006289308,0.354938272,0.829652997
5370053,6277.7,37.4,2.4,61320,6.1,1035,0.937743191,0.007782101,0.673076923,0.848249027
5370054,5279.4,40.3,2.2,59225,5.7,1014,0.956896552,0,0.83982684,0.853448276
5370055,5410.4,39.8,2.3,68019,6.1,982,0.937254902,0.03125,0.888446215,0.878431373
5370056,2816.4,42.8,2.3,67605,6.1,996,0.95,0,0.878571429,0.892857143
5370057,4916.3,40.4,2.2,56290,5.6,930,0.946768061,0,0.820224719,0.882575758
5370058,3386.4,39.6,2.2,52187,5.3,995,0.923444976,0.019138756,0.716981132,0.822966507
5370059,4191.1,37.8,2.4,55422,5.9,963,0.928571429,0.015873016,0.748,0.861111111
5370060,3913.4,37.7,2.6,61431,6.7,902,0.90521327,0,0.745098039,0.848341232
5370061,5025.9,36.1,2.6,48548,5.9,848,0.92760181,0,0.487179487,0.81981982
5370062,5611.7,40.1,2.4,50125,5.5,938,0.907749077,0.007352941,0.382899628,0.889298893
5370063,4722.4,38.5,2.2,45596,4.8,827,0.868778281,0,0.148471616,0.873303167
5370064,2954.9,42.2,2.2,68830,5.7,1035,0.940397351,0.026490066,0.307142857,0.900662252
5370065,1381,35.5,2.6,54770,4.9,1161,0.827225131,0.020942408,0.304812834,0.911458333
5370066,3401.2,39.4,2.4,64686,5.7,994,0.924574209,0.01946472,0.520681265,0.878345499
5370067,782.2,36,2.7,53598,6.1,881,0.929133858,0.062992126,0.737226277,0.74015748
5370068,173.2,41,2.2,45268,6,841,0.925,0,0.842105263,0.8375
5370069,153.8,41.3,2.3,59276,5.8,960,0.911392405,0,0.904109589,0.936708861
5370070,886.9,42.3,2.4,71013,6.5,1086,0.960451977,0.02259887,0.931034483,0.893258427
5370071,3449.9,38.4,2.4,52509,5.2,976,0.909926471,0.011049724,0.441176471,0.876611418
5370072.01,25,46.6,2.6,,8.2,1159,1,0,0.8,1
5370072.02,2857.7,45.9,2.2,53127,5.4,1105,0.917847025,0.036723164,0.384180791,0.920903955
5370072.03,9300,39.9,2.4,49464,4.4,1161,0.822669104,0.012797075,0.045787546,0.853747715
5370072.04,3753.6,42.7,2.7,79971,7.2,1143,0.92,0.02811245,0.570281124,0.959839357
5370073,645.5,44.4,2.1,76058,6.3,1349,0.954954955,0.198198198,0.633027523,0.936936937
5370080.01,40,43.5,2.8,104253,7.8,1493,0.967741935,0.103225806,0.967741935,0.929032258
5370080.03,1326.8,36.3,2.9,100973,6.9,1500,0.949191686,0.445727483,0.532258065,0.974595843
5370080.05,2066.7,36.1,3.3,114061,7.3,1562,0.950471698,0.456264775,0.690307329,0.966981132
5370080.06,2445.1,41.2,3,108501,7.6,1378,0.951515152,0.078787879,0.733333333,0.957575758
5370080.07,2139.3,35.7,3.2,107335,7.2,1531,0.944162437,0.365482234,0.777202073,0.969543147
5370081,2389.5,47,2.1,77809,6,1205,0.96713615,0.042253521,0.522727273,0.943661972
5370082,3064.5,47.5,2.1,68154,5.5,1166,0.970588235,0.005882353,0.410557185,0.914705882
5370083,2769.6,45.6,2.1,62089,5.3,1160,0.952991453,0.008583691,0.360869565,0.896995708
5370084.01,2680.5,44,2.7,85309,7.2,1144,0.943877551,0.056122449,0.796954315,0.918367347
