CTUID,PopDensity,meanAge,meanHouseholdSize,meanIncome ,meanRooms,pSuitability,pDetached,pGoodCondition,pEmployment,pBuilt1991
5370062,5611.7,40.1,2.4,50125,5.5,0.907749077,0.382899628,0.889298893,0.507,0.022058824
5370063,4722.4,38.5,2.2,45596,4.8,0.868778281,0.148471616,0.873303167,0.469,0.113122172
5370064,2954.9,42.2,2.2,68830,5.7,0.940397351,0.307142857,0.900662252,0.594,0.046357616
5370065,1381,35.5,2.6,54770,4.9,0.827225131,0.304812834,0.911458333,0.537,0.083769634
5370066,3401.2,39.4,2.4,64686,5.7,0.924574209,0.520681265,0.878345499,0.541,0.053527981
5370067,782.2,36,2.7,53598,6.1,0.929133858,0.737226277,0.74015748,0.489,0.086614173
5370068,173.2,41,2.2,45268,6,0.925,0.842105263,0.8375,0.385,0
5370069,153.8,41.3,2.3,59276,5.8,0.911392405,0.904109589,0.936708861,0.543,0.025316456
5370070,886.9,42.3,2.4,71013,6.5,0.960451977,0.931034483,0.893258427,0.565,0.033898305
5370071,3449.9,38.4,2.4,52509,5.2,0.909926471,0.441176471,0.876611418,0.466,0.034990792
5370072.01,25,46.6,2.6,,8.2,1,0.8,1,0.588,0
5370072.02,2857.7,45.9,2.2,53127,5.4,0.917847025,0.384180791,0.920903955,0.412,0.118644068
5370072.03,9300,39.9,2.4,49464,4.4,0.822669104,0.045787546,0.853747715,0.487,0.058500914
5370072.04,3753.6,42.7,2.7,79971,7.2,0.92,0.570281124,0.959839357,0.571,0.116465863
5370073,645.5,44.4,2.1,76058,6.3,0.954954955,0.633027523,0.936936937,0.668,0.225225225
5370080.01,40,43.5,2.8,104253,7.8,0.967741935,0.967741935,0.929032258,0.613,0.174193548
5370080.03,1326.8,36.3,2.9,100973,6.9,0.949191686,0.532258065,0.974595843,0.62,0.494226328
5370080.05,2066.7,36.1,3.3,114061,7.3,0.950471698,0.690307329,0.966981132,0.687,0.839243499
5370080.06,2445.1,41.2,3,108501,7.6,0.951515152,0.733333333,0.957575758,0.688,0.384848485
5370080.07,2139.3,35.7,3.2,107335,7.2,0.944162437,0.777202073,0.969543147,0.697,0.497461929
5370081,2389.5,47,2.1,77809,6,0.96713615,0.522727273,0.943661972,0.545,0.093896714
5370082,3064.5,47.5,2.1,68154,5.5,0.970588235,0.410557185,0.914705882,0.437,0.026470588
5370083,2769.6,45.6,2.1,62089,5.3,0.952991453,0.360869565,0.896995708,0.535,0.08583691
5370084.01,2680.5,44,2.7,85309,7.2,0.943877551,0.796954315,0.918367347,0.525,0.112244898
5370084.02,3105.5,45.2,2.4,78613,6.9,0.968,0.507936508,0.944,0.537,0.1
5370084.03,2110.4,47,2.7,96018,8,0.980263158,0.946666667,0.954248366,0.489,0.058823529
5370084.04,765.4,49.8,2,88687,5.8,0.973544974,0.221052632,0.947089947,0.542,0.349206349
5370084.05,3269.1,47,2.8,101594,7.6,0.970873786,0.826086957,0.941747573,0.574,0.291262136
5370085.01,1636.1,45.2,2.9,122545,8.3,0.961538462,0.859649123,0.975524476,0.59,0.174825175
5370085.02,3762.8,40.4,2.9,99935,7.2,0.950672646,0.632286996,0.966367713,0.628,0.375838926
5370085.03,513.9,43,2.6,112875,6.8,0.97133758,0.504761905,0.968152866,0.638,0.676190476
5370086,817.9,36.4,3.1,125879,7.4,0.970172684,0.86163522,0.966981132,0.686,0.726415094
5370100.01,289.9,34.2,3.1,110331,6.9,0.973015873,0.592063492,0.984126984,0.715,0.853968254
5370100.02,101.8,35,3,109249,7.2,0.985018727,0.743445693,0.968164794,0.695,0.709737828
5370101.01,282.4,47.2,2.4,93849,6.6,0.976780186,0.577399381,0.981424149,0.48,0.797213622
5370101.02,69.4,40.8,3,118642,7.7,0.95709571,0.990066225,0.930693069,0.653,0.339933993
5370120.02,28.1,40.8,3.1,231292,8.3,0.963768116,0.935251799,0.890510949,0.689,0.189781022
5370120.03,2973.9,38.4,3.1,133149,7.6,0.967816092,0.702517162,0.983944954,0.64,0.942528736
5370120.04,1847,35.5,3.3,142509,6.9,0.956756757,0.64498645,0.989189189,0.65,0.978378378
5370121,28.7,41.5,2.8,125079,7.9,0.968253968,0.888888889,0.92,0.696,0.216
5370122.01,1902,40.3,2.7,127524,7.7,0.979746835,0.70959596,0.97721519,0.667,0.492424242
5370122.02,1120.3,42.8,2.9,170420,8.3,0.986928105,0.795206972,0.969498911,0.631,0.490196078
5370123,1038.8,43.9,2.8,155409,8.2,0.975791434,0.858208955,0.960893855,0.607,0.281191806
5370124,262.1,46.4,2.8,164296,8.8,0.99609375,0.85,0.956862745,0.566,0.247058824
5370130.02,1452.2,46.3,2.5,129124,7.8,0.993464052,0.867549669,0.964169381,0.58,0.130718954
5370130.03,1704.5,49.9,2.4,122877,7.3,0.969924812,0.596958175,0.958646617,0.548,0.214285714
5370131,415.5,43.4,2.4,104554,6.9,0.978779841,0.752021563,0.941644562,0.617,0.07712766
5370132,2732.6,48.4,1.9,79273,5.4,0.98381877,0.342019544,0.932258065,0.56,0.084142395
5370133.01,846.5,42,2.9,155047,8,0.970338983,0.691983122,0.983050847,0.639,0.720338983
5370133.02,2482.6,47.3,2.2,92449,6.2,0.970119522,0.483168317,0.946107784,0.575,0.249500998
5370140.02,842,39.1,2.8,120971,7.1,0.968801314,0.615763547,0.958949097,0.708,0.472906404
5370140.03,1105.4,34.6,3,128939,7.5,0.98003992,0.647524752,0.98003992,0.774,0.818
5370140.04,1198.5,39.3,2.8,133149,7.6,0.984848485,0.661538462,0.981060606,0.715,0.590909091
5370141,105.2,43.9,2.7,145195,7.9,0.979591837,0.934482759,0.945762712,0.608,0.129251701
5370142.01,31.9,40.1,2.9,127845,8.1,0.977443609,0.969924812,0.928571429,0.698,0.134831461
5370142.02,29.1,48.7,2.4,104259,7,0.990740741,0.86196319,0.978395062,0.575,0.361111111
5370143,49,41.4,2.8,119753,7.9,0.962825279,0.955719557,0.92936803,0.69,0.208178439
5370144.01,84.8,41.5,3,182896,8.7,0.985714286,0.967647059,0.957142857,0.678,0.282857143
5370144.02,57.2,41.6,2.9,132408,8,0.975409836,0.946969697,0.959016393,0.724,0.196721311
5370200,169.9,49.6,2.6,198769,8.2,0.979591837,0.762886598,0.93877551,0.567,0.362244898
5370201,584.2,44.7,2.6,119793,7.3,0.977859779,0.667883212,0.963099631,0.626,0.343173432
5370202,2078.4,53.3,2.1,123916,6.1,0.981001727,0.370689655,0.970689655,0.518,0.546551724
5370203,1325.4,47.3,2.3,130667,7.2,0.982300885,0.763157895,0.973451327,0.597,0.238938053
5370204,2818.7,38.9,2.5,93493,6.1,0.905797101,0.328502415,0.934782609,0.627,0.113253012
5370205.01,2005.4,43.6,2.4,111130,6.7,0.966666667,0.505617978,0.97037037,0.642,0.418518519
