CTUID,Total,Before 1961,1961-1980,1981-1990,1991-2000,2001-2005,2006-2010,2011-2016,Before 2001,On or After 2001
5370085.02,2235,150,345,900,530,170,65,75,0.861297539,0.138702461
5370085.03,1575,230,100,180,355,130,330,250,0.549206349,0.450793651
5370086,3180,450,325,95,410,710,825,365,0.402515723,0.597484277
5370100.01,3150,160,235,65,50,135,1095,1410,0.161904762,0.838095238
5370100.02,2670,250,450,75,100,380,875,540,0.327715356,0.672284644
5370101.01,3230,290,250,105,800,785,600,390,0.447368421,0.549535604
5370101.02,1515,480,455,65,260,30,30,195,0.831683168,0.168316832
5370120.02,685,295,190,75,65,15,40,10,0.912408759,0.094890511
5370120.03,2175,20,25,85,850,535,275,390,0.450574713,0.551724138
5370120.04,1850,0,25,10,105,450,600,655,0.075675676,0.921621622
5370121,625,290,150,55,85,25,15,10,0.928,0.08
5370122.01,1980,230,210,565,360,225,340,50,0.689393939,0.310606061
5370122.02,2295,355,210,605,335,455,225,110,0.65577342,0.34422658
5370123,2685,870,500,555,290,25,160,280,0.824953445,0.173184358
5370124,1275,280,180,505,155,110,15,35,0.878431373,0.125490196
5370130.02,1530,320,930,75,150,10,20,20,0.964052288,0.032679739
5370130.03,1330,230,440,365,245,25,15,0,0.962406015,0.030075188
5370131,1880,985,530,220,80,35,20,10,0.965425532,0.034574468
5370132,1545,815,470,130,85,15,10,20,0.970873786,0.029126214
5370133.01,1180,30,25,270,615,90,90,55,0.796610169,0.199152542
5370133.02,2505,1165,605,125,155,170,255,45,0.818363273,0.18762475
5370140.02,3045,525,720,360,675,60,275,430,0.748768473,0.251231527
5370140.03,2500,75,100,285,1055,155,250,585,0.606,0.396
5370140.04,1320,110,180,245,455,210,40,75,0.75,0.246212121
5370141,1470,680,500,95,35,80,45,30,0.891156463,0.105442177
5370142.01,1335,565,385,200,95,15,50,20,0.93258427,0.063670412
5370142.02,1620,335,470,230,155,160,190,80,0.734567901,0.265432099
5370143,1345,405,440,225,135,85,45,15,0.895910781,0.107806691
5370144.01,1750,320,570,370,280,140,60,15,0.88,0.122857143
5370144.02,610,195,205,90,65,30,15,10,0.909836066,0.090163934
5370200,980,230,355,35,280,40,35,0,0.918367347,0.076530612
5370201,1355,440,340,105,65,275,50,75,0.701107011,0.295202952
5370202,2900,685,500,130,250,305,395,635,0.539655172,0.460344828
5370203,1130,670,175,20,20,10,110,130,0.783185841,0.221238938
5370204,2075,440,1190,205,145,55,15,20,0.954216867,0.043373494
5370205.01,1350,95,65,640,430,95,30,10,0.911111111,0.1
5370205.02,2920,340,990,620,525,145,40,260,0.84760274,0.15239726
5370206,1990,655,825,260,130,40,60,15,0.939698492,0.057788945
5370207.01,2425,175,1305,485,275,35,45,105,0.92371134,0.07628866
5370207.02,2035,10,1165,770,85,10,0,0,0.997542998,0.004914005
5370207.03,1430,40,1185,150,20,25,10,0,0.975524476,0.024475524
5370207.04,1140,40,660,185,100,150,0,0,0.864035088,0.131578947
5370208,1235,535,635,25,20,20,0,0,0.983805668,0.016194332
5370209,625,370,245,0,0,0,10,0,0.984,0.016
5370210,935,225,500,75,30,25,15,70,0.887700535,0.117647059
5370211,1255,510,450,130,85,20,0,65,0.93625498,0.067729084
5370212,770,450,145,20,70,10,10,70,0.88961039,0.116883117
5370213,2035,615,770,230,80,80,175,95,0.832923833,0.171990172
5370214,1205,565,405,140,50,0,40,10,0.962655602,0.041493776
5370215,1245,645,375,120,75,0,10,20,0.975903614,0.024096386
5370216,1475,500,700,75,45,45,45,70,0.894915254,0.108474576
5370217.01,2445,385,1690,210,105,15,35,15,0.977505112,0.026584867
5370217.02,1370,115,840,155,195,50,10,10,0.952554745,0.051094891
5370218,2690,145,1700,165,290,175,120,100,0.855018587,0.146840149
5370219,1580,570,765,95,25,30,55,45,0.920886076,0.082278481
5370220,2545,615,1395,260,125,60,65,25,0.941060904,0.058939096
5370221,1185,180,940,25,10,0,10,15,0.974683544,0.021097046
5370222.01,,,,,,,,,#DIV/0!,#DIV/0!
5370222.02,1750,75,990,300,100,140,140,0,0.837142857,0.16
5370222.03,1585,60,425,265,550,280,20,0,0.820189274,0.189274448
5370223.01,980,30,855,30,55,10,0,0,0.989795918,0.010204082
5370223.02,1725,40,845,485,190,155,20,0,0.904347826,0.101449275
5370223.05,980,15,190,545,205,10,15,0,0.974489796,0.025510204
5370223.06,1305,0,115,1060,110,20,0,0,0.98467433,0.01532567
5370223.07,1710,20,95,925,570,80,15,0,0.941520468,0.055555556
5370223.09,2690,10,10,0,270,1715,500,185,0.107806691,0.892193309
5370223.1,1580,0,10,15,800,535,220,15,0.522151899,0.487341772
5370223.12,3585,10,35,55,1205,1030,665,595,0.364016736,0.638772664
5370223.13,1620,0,30,265,710,500,80,35,0.62037037,0.37962963
5370223.14,1445,0,15,75,630,390,320,0,0.498269896,0.491349481
5370223.15,860,0,0,30,465,260,70,30,0.575581395,0.418604651
5370223.16,810,10,40,260,485,25,0,10,0.981481481,0.043209877
5370224.01,3125,0,10,0,30,90,2080,925,0.0128,0.9904
5370224.02,1295,295,580,140,105,55,65,55,0.864864865,0.135135135
5370300,730,285,245,65,50,35,25,20,0.883561644,0.109589041
5370301,2855,360,485,345,235,430,365,635,0.499124343,0.500875657
5370302,2425,1105,955,165,100,15,50,35,0.958762887,0.041237113
5370303.01,1440,225,210,485,220,140,75,85,0.791666667,0.208333333
5370303.02,2925,370,525,330,660,520,360,165,0.644444444,0.357264957
